"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Prerequisites: Start the dedicated database Compose stack. Suite setup connects using connections.cfg and creates a unique table; test setup seeds id=1, alice, booked.
Steps and expected result: Bind id=2, bob, pending into INSERT and require two rows. UPDATE that id to booked, SELECT and verify its status, then DELETE it. Query the remaining row and prove alice/booked is unchanged.","29","SQL Bound Parameters Support INSERT UPDATE SELECT And DELETE","","2026-09-14","passed","2026-09-14","Oracle","Database Examples","",""
"Prerequisites: Start the dedicated database Compose stack. Suite setup connects using connections.cfg and creates a unique table; test setup seeds id=1, alice, booked.
Steps and expected result: INSERT id=2 and SELECT within the same uncommitted transaction using no_transaction=True on both calls. Require two visible rows, execute ROLLBACK and require the original single row. A normal Query would commit, so the flag on the intermediate read matters.","12","SQL ROLLBACK Reverts An Uncommitted INSERT","","2026-09-14","passed","2026-09-14","Mysql","Database Examples","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: Address an open shadow root using a CSS locator; verify the component displays the entered text.","365","CSS Locator Reaches An Input Inside An Open Shadow Root","UI Examples","2026-09-14","passed","2026-09-14","04 Modern Browser Controls","UI components","",""
"Prerequisites: Use the approved runtime with Java and the WireMock JAR. The per-test setup starts isolated mock processes and loads the named mappings from robot/data/api/mocks; teardown closes HTTP sessions and listener cleanup stops mocks.
Steps and expected result: Preparation defines a supplier order that is pending on the first request and ready on the next. We read both responses in order and assert each business status. State changes come from the declared scenario; no arbitrary test sleep is needed.","1887","Stateful Polling Changes Pending To Ready","","2026-09-14","passed","2026-09-14","03 Wiremock","API Examples","",""
"Prerequisites: Use the approved runtime with Java and the WireMock JAR. The per-test setup starts isolated mock processes and loads the named mappings from robot/data/api/mocks; teardown closes HTTP sessions and listener cleanup stops mocks.
Steps and expected result: Preparation starts an isolated mock supplier with an agreed order response. We send the required method, query, header and JSON body, compare the created order, and verify exactly one matching call with no unexpected requests.","2335","JSON Request Matching And Call Verification","","2026-09-14","passed","2026-09-14","03 Wiremock","API Examples","",""
"Prerequisites: Use the approved runtime with Java and the WireMock JAR. The per-test setup starts isolated mock processes and loads the named mappings from robot/data/api/mocks; teardown closes HTTP sessions and listener cleanup stops mocks.
Steps and expected result: Preparation configures a temporarily unavailable supplier and a deliberately slow endpoint. We check the HTTP 503 error message and then expect a bounded client timeout. PASS confirms both failure paths were detected, not that the supplier was healthy.","1991","Service Failure And Timeout Are Testable","","2026-09-14","passed","2026-09-14","03 Wiremock","API Examples","",""
"Prerequisites: Enable the json module; inline JSON and versioned files in robot/data/compare supply the inputs. No external service is needed.
Steps and expected result: Exercise the basic equality result before adding filters or runtime modifications.","4","Equal JSON Documents Produce No Differences","Module Examples","2026-09-14","passed","2026-09-14","Json Comparison","Json","",""
"Prerequisites: Enable the json module; inline JSON and versioned files in robot/data/compare supply the inputs. No external service is needed.
Steps and expected result: Change an ID and remove a debug field on a returned copy, then assert the expected JSON.","3","Runtime Keywords Return A Modified Copy","Module Examples","2026-09-14","passed","2026-09-14","Configured Comparison And Edits","Json","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: The invalid password must show an error without navigating; a valid retry must recover within the same browser context.","1874","Invalid Login Shows An Error And A Valid Retry Opens The Workshop","UI Examples","2026-09-14","passed","2026-09-14","03 Forms And Playwright Waiting","UI components","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the login page with no signed-in user.
Steps and expected result: Use a CSS locator when a semantic page mapping is unnecessary; check the actual input value.","335","Technical Locator Can Be Used Directly Without A Semantic Mapping","UI Examples","2026-09-14","passed","2026-09-14","02 Automatic Page And Method Resolution","UI components","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the login page with no signed-in user.
Steps and expected result: Follow the complete redirect chain and assert the final URL and page content.","413","Three Redirects Finish On The Expected Local Page","UI Examples","2026-09-14","passed","2026-09-14","05 Contexts And Network Edge Cases","UI components","",""
